;True location;Leak type;BattLeDIM distance;LILA Distance;expert TTD;cusum TTD;expert V saved;cusum V saved
1;p523;abrupt;166;54;0 days 00:00:00;0 days 00:00:00;11128.4;11128.4
2;p827;abrupt;295;203;0 days 00:00:00;0 days 00:00:00;8560.4;8560.4
3;p280;abrupt;255;124;0 days 00:35:00;4 days 18:35:00;40384.7;39792.5
4;p653;incipient;324;93;6 days 22:50:00;9 days 06:30:00;13052.3;13024.6
5;p710;abrupt;178;221;0 days 00:05:00;0 days 02:00:00;37059.8;37049.2
6;p514;abrupt;212;51;0 days 00:00:00;0 days 00:10:00;18805.6;18803.0
7;p331;abrupt;391;103;0 days 00:00:00;0 days 00:00:00;64690.0;64690.0
8;p193;incipient;890;0;13 days 08:15:00;28 days 02:45:00;44555.5;44189.0
9;p277;incipient;147;374;-11 days +02:05:00;38 days 22:55:00;0.0;28227.1
10;p142;abrupt;343;304;0 days 00:00:00;0 days 00:00:00;22023.2;22023.2
11;p680;abrupt;187;66;0 days 00:00:00;0 days 01:05:00;22474.6;22468.8
12;p586;incipient;205;169;5 days 09:50:00;11 days 08:00:00;14417.0;14219.7
13;p721;incipient;253;294;16 days 16:00:00;11 days 10:00:00;36169.1;36289.5
14;p800;incipient;823;167;2 days 17:40:00;4 days 20:30:00;16253.9;16220.8
15;p123;incipient;Not detected;76;NaT;40 days 14:05:00;0.0;11690.5
16;p455;incipient;858;136;11 days 10:00:00;31 days 04:05:00;10560.3;10094.4
17;p762;incipient;668;258;12 days 07:45:00;16 days 03:15:00;17453.0;17355.7
18;p426;abrupt;50;144;0 days 00:15:00;0 days 00:15:00;21353.0;21353.0
19;p879;incipient;643;0;4 days 12:05:00;1 days 20:15:00;3620.9;3625.2